Team1Win,Team1GP,Team1W,Team1L,Team1MIN,Team1OFFRTG,Team1DEFRTG,Team1NETRTG,Team1AST%,Team1AST/TO,Team1ASTRATIO,Team1OREB%,Team1DREB%,Team1REB%,Team1TOV%,Team1EFG%,Team1TS%,Team1PACE,Team1PIE,Team2GP,Team2W,Team2L,Team2MIN,Team2OFFRTG,Team2DEFRTG,Team2NETRTG,Team2AST%,Team2AST/TO,Team2ASTRATIO,Team2OREB%,Team2DREB%,Team2REB%,Team2TOV%,Team2EFG%,Team2TS%,Team2PACE,Team2PIE
0,16.0,1.0,15.0,768.0,104.3,114.4,-10.1,55.2,1.37,16.1,22.5,72.4,48.0,15.5,51.4,55.4,101.25,44.9,17.0,8.0,9.0,826.0,110.1,110.7,-0.6,43.2,1.36,13.2,28.2,72.1,49.6,12.7,50.2,55.1,96.29,48.7
1,14.0,10.0,4.0,682.0,115.6,111.4,4.2,66.4,2.03,19.5,27.5,70.7,49.6,13.4,54.7,59.0,96.63,51.9,15.0,11.0,4.0,745.0,108.5,105.1,3.4,63.5,1.82,18.2,27.4,70.5,48.9,13.9,51.3,54.9,96.13,52.5
1,14.0,7.0,7.0,677.0,109.8,110.2,-0.3,57.4,1.76,16.7,28.2,76.0,51.4,12.9,50.9,55.2,94.23,49.8,17.0,10.0,7.0,816.0,111.7,109.0,2.7,64.0,1.67,18.3,25.6,72.7,48.8,15.0,53.7,57.9,100.62,50.0
0,15.0,9.0,6.0,720.0,106.1,107.1,-1.0,55.8,1.67,16.6,23.1,72.0,47.7,13.2,52.0,55.0,96.37,49.3,15.0,5.0,10.0,725.0,108.0,113.5,-5.4,62.6,1.6,18.1,29.5,68.8,48.9,15.6,51.5,55.6,95.37,47.7
0,15.0,7.0,8.0,720.0,105.7,107.8,-2.1,53.3,1.35,15.3,29.1,73.2,51.0,15.3,49.0,53.5,98.9,48.4,15.0,8.0,7.0,725.0,108.1,106.2,1.9,63.5,1.67,18.7,28.6,75.0,51.9,15.5,51.7,55.9,95.9,52.1
1,16.0,4.0,12.0,773.0,104.2,112.5,-8.3,59.1,1.68,17.4,26.5,73.5,49.0,14.2,50.0,53.0,98.11,44.9,15.0,8.0,7.0,735.0,107.7,105.8,1.9,57.0,1.7,17.0,26.8,73.2,49.9,13.6,50.9,54.6,98.42,50.6
1,15.0,7.0,8.0,730.0,107.1,108.0,-0.9,52.1,1.36,15.2,26.5,72.7,49.2,14.8,51.5,55.0,98.53,47.7,16.0,5.0,11.0,778.0,109.6,114.2,-4.6,64.1,1.62,18.4,26.6,72.0,49.4,15.5,53.3,57.7,95.01,47.7
0,13.0,6.0,7.0,634.0,108.7,112.5,-3.8,49.2,1.69,15.8,28.3,77.3,51.5,12.5,51.6,54.1,96.76,46.7,15.0,9.0,6.0,725.0,107.9,105.0,2.9,53.9,1.52,15.7,27.7,74.6,51.1,13.9,50.4,54.6,92.03,52.7
0,15.0,5.0,10.0,720.0,106.3,112.4,-6.1,54.1,1.56,15.8,27.4,72.3,49.1,13.7,49.9,53.4,98.0,44.9,12.0,8.0,4.0,576.0,110.7,109.9,0.8,59.9,1.78,17.9,25.8,73.2,50.4,13.8,54.1,57.2,96.83,50.7
0,14.0,5.0,9.0,677.0,105.4,107.2,-1.9,57.4,1.86,17.0,23.9,71.8,47.5,12.4,50.9,53.5,99.01,48.8,15.0,8.0,7.0,725.0,107.1,107.2,-0.2,54.3,1.51,15.5,31.1,75.1,52.5,14.1,48.1,53.2,96.36,50.1
0,15.0,10.0,5.0,730.0,114.5,104.6,10.0,61.0,2.18,18.9,25.8,73.2,50.2,11.9,54.4,58.3,96.66,56.1,14.0,5.0,9.0,672.0,111.1,114.3,-3.2,46.9,1.27,14.2,33.0,70.1,51.3,15.1,50.5,55.7,96.21,47.3
0,15.0,10.0,5.0,720.0,104.7,104.5,0.2,69.1,1.51,18.8,28.2,72.1,50.3,17.3,51.2,55.5,100.2,52.0,16.0,12.0,4.0,768.0,112.2,105.5,6.7,58.7,1.79,18.7,27.8,71.7,50.9,14.4,54.8,57.7,97.41,54.5
0,16.0,4.0,12.0,773.0,104.2,112.5,-8.3,59.1,1.68,17.4,26.5,73.5,49.0,14.2,50.0,53.0,98.11,44.9,15.0,9.0,6.0,725.0,107.9,105.0,2.9,53.9,1.52,15.7,27.7,74.6,51.1,13.9,50.4,54.6,92.03,52.7
0,15.0,8.0,7.0,725.0,108.1,106.2,1.9,63.5,1.67,18.7,28.6,75.0,51.9,15.5,51.7,55.9,95.9,52.1,14.0,8.0,6.0,677.0,108.8,105.3,3.4,55.9,1.92,17.2,20.0,72.2,46.1,11.8,52.9,56.4,93.06,51.8
0,15.0,5.0,10.0,725.0,108.0,113.5,-5.4,62.6,1.6,18.1,29.5,68.8,48.9,15.6,51.5,55.6,95.37,47.7,15.0,11.0,4.0,745.0,108.5,105.1,3.4,63.5,1.82,18.2,27.4,70.5,48.9,13.9,51.3,54.9,96.13,52.5
0,17.0,5.0,12.0,836.0,109.4,112.0,-2.5,53.7,1.49,16.1,33.4,70.1,51.5,15.1,50.6,54.0,95.86,47.3,17.0,8.0,9.0,826.0,110.1,110.7,-0.6,43.2,1.36,13.2,28.2,72.1,49.6,12.7,50.2,55.1,96.29,48.7
1,17.0,10.0,7.0,816.0,111.7,109.0,2.7,64.0,1.67,18.3,25.6,72.7,48.8,15.0,53.7,57.9,100.62,50.0,16.0,1.0,15.0,768.0,104.3,114.4,-10.1,55.2,1.37,16.1,22.5,72.4,48.0,15.5,51.4,55.4,101.25,44.9
1,15.0,8.0,7.0,725.0,107.1,107.2,-0.2,54.3,1.51,15.5,31.1,75.1,52.5,14.1,48.1,53.2,96.36,50.1,14.0,7.0,7.0,677.0,109.8,110.2,-0.3,57.4,1.76,16.7,28.2,76.0,51.4,12.9,50.9,55.2,94.23,49.8
1,15.0,7.0,8.0,720.0,105.7,107.8,-2.1,53.3,1.35,15.3,29.1,73.2,51.0,15.3,49.0,53.5,98.9,48.4,16.0,5.0,11.0,778.0,109.6,114.2,-4.6,64.1,1.62,18.4,26.6,72.0,49.4,15.5,53.3,57.7,95.01,47.7
1,13.0,6.0,7.0,634.0,108.7,112.5,-3.8,49.2,1.69,15.8,28.3,77.3,51.5,12.5,51.6,54.1,96.76,46.7,15.0,5.0,10.0,720.0,106.3,112.4,-6.1,54.1,1.56,15.8,27.4,72.3,49.1,13.7,49.9,53.4,98.0,44.9
1,15.0,11.0,4.0,745.0,108.5,105.1,3.4,63.5,1.82,18.2,27.4,70.5,48.9,13.9,51.3,54.9,96.13,52.5,17.0,5.0,12.0,836.0,109.4,112.0,-2.5,53.7,1.49,16.1,33.4,70.1,51.5,15.1,50.6,54.0,95.86,47.3
0,15.0,8.0,7.0,735.0,107.7,105.8,1.9,57.0,1.7,17.0,26.8,73.2,49.9,13.6,50.9,54.6,98.42,50.6,16.0,12.0,4.0,768.0,112.2,105.5,6.7,58.7,1.79,18.7,27.8,71.7,50.9,14.4,54.8,57.7,97.41,54.5
0,14.0,5.0,9.0,677.0,105.4,107.2,-1.9,57.4,1.86,17.0,23.9,71.8,47.5,12.4,50.9,53.5,99.01,48.8,13.0,9.0,4.0,629.0,112.7,110.7,1.9,56.2,1.66,17.8,23.8,72.1,48.9,14.3,55.3,59.5,97.49,52.0
0,16.0,4.0,12.0,773.0,104.2,112.5,-8.3,59.1,1.68,17.4,26.5,73.5,49.0,14.2,50.0,53.0,98.11,44.9,14.0,7.0,7.0,672.0,116.8,115.7,1.1,63.9,1.94,19.5,32.5,73.1,53.0,14.2,55.0,58.9,99.68,51.2
0,15.0,4.0,11.0,720.0,108.4,110.3,-1.9,61.6,1.83,17.4,25.1,74.2,49.9,12.8,49.8,55.3,97.13,49.7,14.0,10.0,4.0,682.0,115.6,111.4,4.2,66.4,2.03,19.5,27.5,70.7,49.6,13.4,54.7,59.0,96.63,51.9
0,15.0,7.0,8.0,730.0,107.1,108.0,-0.9,52.1,1.36,15.2,26.5,72.7,49.2,14.8,51.5,55.0,98.53,47.7,14.0,12.0,2.0,677.0,116.8,103.3,13.5,68.9,2.0,21.1,27.5,74.3,52.6,14.8,57.9,61.3,102.13,59.0
1,15.0,9.0,6.0,725.0,107.9,105.0,2.9,53.9,1.52,15.7,27.7,74.6,51.1,13.9,50.4,54.6,92.03,52.7,14.0,5.0,9.0,672.0,111.1,114.3,-3.2,46.9,1.27,14.2,33.0,70.1,51.3,15.1,50.5,55.7,96.21,47.3
0,15.0,7.0,8.0,720.0,105.7,107.8,-2.1,53.3,1.35,15.3,29.1,73.2,51.0,15.3,49.0,53.5,98.9,48.4,12.0,8.0,4.0,576.0,110.7,109.9,0.8,59.9,1.78,17.9,25.8,73.2,50.4,13.8,54.1,57.2,96.83,50.7
1,17.0,8.0,9.0,826.0,110.1,110.7,-0.6,43.2,1.36,13.2,28.2,72.1,49.6,12.7,50.2,55.1,96.29,48.7,16.0,1.0,15.0,768.0,104.3,114.4,-10.1,55.2,1.37,16.1,22.5,72.4,48.0,15.5,51.4,55.4,101.25,44.9
0,17.0,10.0,7.0,816.0,111.7,109.0,2.7,64.0,1.67,18.3,25.6,72.7,48.8,15.0,53.7,57.9,100.62,50.0,15.0,9.0,6.0,720.0,106.1,107.1,-1.0,55.8,1.67,16.6,23.1,72.0,47.7,13.2,52.0,55.0,96.37,49.3
1,14.0,8.0,6.0,677.0,108.8,105.3,3.4,55.9,1.92,17.2,20.0,72.2,46.1,11.8,52.9,56.4,93.06,51.8,15.0,8.0,7.0,725.0,107.1,107.2,-0.2,54.3,1.51,15.5,31.1,75.1,52.5,14.1,48.1,53.2,96.36,50.1
0,15.0,8.0,7.0,725.0,108.1,106.2,1.9,63.5,1.67,18.7,28.6,75.0,51.9,15.5,51.7,55.9,95.9,52.1,15.0,10.0,5.0,730.0,114.5,104.6,10.0,61.0,2.18,18.9,25.8,73.2,50.2,11.9,54.4,58.3,96.66,56.1
1,14.0,7.0,7.0,672.0,116.8,115.7,1.1,63.9,1.94,19.5,32.5,73.1,53.0,14.2,55.0,58.9,99.68,51.2,15.0,5.0,10.0,720.0,106.3,112.4,-6.1,54.1,1.56,15.8,27.4,72.3,49.1,13.7,49.9,53.4,98.0,44.9
0,15.0,8.0,7.0,735.0,107.7,105.8,1.9,57.0,1.7,17.0,26.8,73.2,49.9,13.6,50.9,54.6,98.42,50.6,15.0,4.0,11.0,720.0,108.4,110.3,-1.9,61.6,1.83,17.4,25.1,74.2,49.9,12.8,49.8,55.3,97.13,49.7
0,17.0,8.0,9.0,826.0,110.1,110.7,-0.6,43.2,1.36,13.2,28.2,72.1,49.6,12.7,50.2,55.1,96.29,48.7,15.0,10.0,5.0,720.0,104.7,104.5,0.2,69.1,1.51,18.8,28.2,72.1,50.3,17.3,51.2,55.5,100.2,52.0
0,14.0,7.0,7.0,677.0,109.8,110.2,-0.3,57.4,1.76,16.7,28.2,76.0,51.4,12.9,50.9,55.2,94.23,49.8,16.0,12.0,4.0,768.0,112.2,105.5,6.7,58.7,1.79,18.7,27.8,71.7,50.9,14.4,54.8,57.7,97.41,54.5
1,17.0,5.0,12.0,836.0,109.4,112.0,-2.5,53.7,1.49,16.1,33.4,70.1,51.5,15.1,50.6,54.0,95.86,47.3,14.0,10.0,4.0,682.0,115.6,111.4,4.2,66.4,2.03,19.5,27.5,70.7,49.6,13.4,54.7,59.0,96.63,51.9
0,15.0,11.0,4.0,745.0,108.5,105.1,3.4,63.5,1.82,18.2,27.4,70.5,48.9,13.9,51.3,54.9,96.13,52.5,13.0,6.0,7.0,634.0,108.7,112.5,-3.8,49.2,1.69,15.8,28.3,77.3,51.5,12.5,51.6,54.1,96.76,46.7
0,15.0,5.0,10.0,725.0,108.0,113.5,-5.4,62.6,1.6,18.1,29.5,68.8,48.9,15.6,51.5,55.6,95.37,47.7,17.0,10.0,7.0,816.0,111.7,109.0,2.7,64.0,1.67,18.3,25.6,72.7,48.8,15.0,53.7,57.9,100.62,50.0
0,16.0,4.0,12.0,773.0,104.2,112.5,-8.3,59.1,1.68,17.4,26.5,73.5,49.0,14.2,50.0,53.0,98.11,44.9,14.0,5.0,9.0,677.0,105.4,107.2,-1.9,57.4,1.86,17.0,23.9,71.8,47.5,12.4,50.9,53.5,99.01,48.8
0,15.0,7.0,8.0,720.0,105.7,107.8,-2.1,53.3,1.35,15.3,29.1,73.2,51.0,15.3,49.0,53.5,98.9,48.4,14.0,12.0,2.0,677.0,116.8,103.3,13.5,68.9,2.0,21.1,27.5,74.3,52.6,14.8,57.9,61.3,102.13,59.0
1,13.0,9.0,4.0,629.0,112.7,110.7,1.9,56.2,1.66,17.8,23.8,72.1,48.9,14.3,55.3,59.5,97.49,52.0,16.0,5.0,11.0,778.0,109.6,114.2,-4.6,64.1,1.62,18.4,26.6,72.0,49.4,15.5,53.3,57.7,95.01,47.7
0,14.0,5.0,9.0,672.0,111.1,114.3,-3.2,46.9,1.27,14.2,33.0,70.1,51.3,15.1,50.5,55.7,96.21,47.3,15.0,7.0,8.0,730.0,107.1,108.0,-0.9,52.1,1.36,15.2,26.5,72.7,49.2,14.8,51.5,55.0,98.53,47.7
0,14.0,8.0,6.0,677.0,108.8,105.3,3.4,55.9,1.92,17.2,20.0,72.2,46.1,11.8,52.9,56.4,93.06,51.8,15.0,9.0,6.0,720.0,106.1,107.1,-1.0,55.8,1.67,16.6,23.1,72.0,47.7,13.2,52.0,55.0,96.37,49.3
1,16.0,12.0,4.0,768.0,112.2,105.5,6.7,58.7,1.79,18.7,27.8,71.7,50.9,14.4,54.8,57.7,97.41,54.5,17.0,5.0,12.0,836.0,109.4,112.0,-2.5,53.7,1.49,16.1,33.4,70.1,51.5,15.1,50.6,54.0,95.86,47.3
0,14.0,7.0,7.0,672.0,116.8,115.7,1.1,63.9,1.94,19.5,32.5,73.1,53.0,14.2,55.0,58.9,99.68,51.2,15.0,10.0,5.0,730.0,114.5,104.6,10.0,61.0,2.18,18.9,25.8,73.2,50.2,11.9,54.4,58.3,96.66,56.1
1,15.0,8.0,7.0,725.0,108.1,106.2,1.9,63.5,1.67,18.7,28.6,75.0,51.9,15.5,51.7,55.9,95.9,52.1,12.0,8.0,4.0,576.0,110.7,109.9,0.8,59.9,1.78,17.9,25.8,73.2,50.4,13.8,54.1,57.2,96.83,50.7
0,17.0,8.0,9.0,826.0,110.1,110.7,-0.6,43.2,1.36,13.2,28.2,72.1,49.6,12.7,50.2,55.1,96.29,48.7,15.0,4.0,11.0,720.0,108.4,110.3,-1.9,61.6,1.83,17.4,25.1,74.2,49.9,12.8,49.8,55.3,97.13,49.7
0,15.0,5.0,10.0,725.0,108.0,113.5,-5.4,62.6,1.6,18.1,29.5,68.8,48.9,15.6,51.5,55.6,95.37,47.7,16.0,4.0,12.0,773.0,104.2,112.5,-8.3,59.1,1.68,17.4,26.5,73.5,49.0,14.2,50.0,53.0,98.11,44.9
0,15.0,8.0,7.0,735.0,107.7,105.8,1.9,57.0,1.7,17.0,26.8,73.2,49.9,13.6,50.9,54.6,98.42,50.6,15.0,10.0,5.0,720.0,104.7,104.5,0.2,69.1,1.51,18.8,28.2,72.1,50.3,17.3,51.2,55.5,100.2,52.0
0,15.0,8.0,7.0,725.0,107.1,107.2,-0.2,54.3,1.51,15.5,31.1,75.1,52.5,14.1,48.1,53.2,96.36,50.1,15.0,11.0,4.0,745.0,108.5,105.1,3.4,63.5,1.82,18.2,27.4,70.5,48.9,13.9,51.3,54.9,96.13,52.5
1,14.0,12.0,2.0,677.0,116.8,103.3,13.5,68.9,2.0,21.1,27.5,74.3,52.6,14.8,57.9,61.3,102.13,59.0,17.0,10.0,7.0,816.0,111.7,109.0,2.7,64.0,1.67,18.3,25.6,72.7,48.8,15.0,53.7,57.9,100.62,50.0
0,16.0,5.0,11.0,778.0,109.6,114.2,-4.6,64.1,1.62,18.4,26.6,72.0,49.4,15.5,53.3,57.7,95.01,47.7,14.0,7.0,7.0,677.0,109.8,110.2,-0.3,57.4,1.76,16.7,28.2,76.0,51.4,12.9,50.9,55.2,94.23,49.8
1,16.0,1.0,15.0,768.0,104.3,114.4,-10.1,55.2,1.37,16.1,22.5,72.4,48.0,15.5,51.4,55.4,101.25,44.9,14.0,5.0,9.0,677.0,105.4,107.2,-1.9,57.4,1.86,17.0,23.9,71.8,47.5,12.4,50.9,53.5,99.01,48.8
1,15.0,9.0,6.0,725.0,107.9,105.0,2.9,53.9,1.52,15.7,27.7,74.6,51.1,13.9,50.4,54.6,92.03,52.7,14.0,8.0,6.0,677.0,108.8,105.3,3.4,55.9,1.92,17.2,20.0,72.2,46.1,11.8,52.9,56.4,93.06,51.8
0,13.0,9.0,4.0,629.0,112.7,110.7,1.9,56.2,1.66,17.8,23.8,72.1,48.9,14.3,55.3,59.5,97.49,52.0,15.0,5.0,10.0,720.0,106.3,112.4,-6.1,54.1,1.56,15.8,27.4,72.3,49.1,13.7,49.9,53.4,98.0,44.9
1,15.0,8.0,7.0,735.0,107.7,105.8,1.9,57.0,1.7,17.0,26.8,73.2,49.9,13.6,50.9,54.6,98.42,50.6,14.0,10.0,4.0,682.0,115.6,111.4,4.2,66.4,2.03,19.5,27.5,70.7,49.6,13.4,54.7,59.0,96.63,51.9
0,16.0,12.0,4.0,768.0,112.2,105.5,6.7,58.7,1.79,18.7,27.8,71.7,50.9,14.4,54.8,57.7,97.41,54.5,13.0,6.0,7.0,634.0,108.7,112.5,-3.8,49.2,1.69,15.8,28.3,77.3,51.5,12.5,51.6,54.1,96.76,46.7
0,15.0,10.0,5.0,720.0,104.7,104.5,0.2,69.1,1.51,18.8,28.2,72.1,50.3,17.3,51.2,55.5,100.2,52.0,15.0,11.0,4.0,745.0,108.5,105.1,3.4,63.5,1.82,18.2,27.4,70.5,48.9,13.9,51.3,54.9,96.13,52.5
0,16.0,1.0,15.0,768.0,104.3,114.4,-10.1,55.2,1.37,16.1,22.5,72.4,48.0,15.5,51.4,55.4,101.25,44.9,15.0,4.0,11.0,720.0,108.4,110.3,-1.9,61.6,1.83,17.4,25.1,74.2,49.9,12.8,49.8,55.3,97.13,49.7
0,15.0,5.0,10.0,725.0,108.0,113.5,-5.4,62.6,1.6,18.1,29.5,68.8,48.9,15.6,51.5,55.6,95.37,47.7,15.0,9.0,6.0,720.0,106.1,107.1,-1.0,55.8,1.67,16.6,23.1,72.0,47.7,13.2,52.0,55.0,96.37,49.3
1,14.0,5.0,9.0,672.0,111.1,114.3,-3.2,46.9,1.27,14.2,33.0,70.1,51.3,15.1,50.5,55.7,96.21,47.3,17.0,5.0,12.0,836.0,109.4,112.0,-2.5,53.7,1.49,16.1,33.4,70.1,51.5,15.1,50.6,54.0,95.86,47.3
1,17.0,10.0,7.0,816.0,111.7,109.0,2.7,64.0,1.67,18.3,25.6,72.7,48.8,15.0,53.7,57.9,100.62,50.0,14.0,7.0,7.0,677.0,109.8,110.2,-0.3,57.4,1.76,16.7,28.2,76.0,51.4,12.9,50.9,55.2,94.23,49.8
1,15.0,10.0,5.0,730.0,114.5,104.6,10.0,61.0,2.18,18.9,25.8,73.2,50.2,11.9,54.4,58.3,96.66,56.1,15.0,7.0,8.0,730.0,107.1,108.0,-0.9,52.1,1.36,15.2,26.5,72.7,49.2,14.8,51.5,55.0,98.53,47.7
0,16.0,5.0,11.0,778.0,109.6,114.2,-4.6,64.1,1.62,18.4,26.6,72.0,49.4,15.5,53.3,57.7,95.01,47.7,15.0,8.0,7.0,725.0,107.1,107.2,-0.2,54.3,1.51,15.5,31.1,75.1,52.5,14.1,48.1,53.2,96.36,50.1
0,12.0,8.0,4.0,576.0,110.7,109.9,0.8,59.9,1.78,17.9,25.8,73.2,50.4,13.8,54.1,57.2,96.83,50.7,14.0,7.0,7.0,672.0,116.8,115.7,1.1,63.9,1.94,19.5,32.5,73.1,53.0,14.2,55.0,58.9,99.68,51.2
0,13.0,9.0,4.0,629.0,112.7,110.7,1.9,56.2,1.66,17.8,23.8,72.1,48.9,14.3,55.3,59.5,97.49,52.0,15.0,9.0,6.0,725.0,107.9,105.0,2.9,53.9,1.52,15.7,27.7,74.6,51.1,13.9,50.4,54.6,92.03,52.7
1,14.0,12.0,2.0,677.0,116.8,103.3,13.5,68.9,2.0,21.1,27.5,74.3,52.6,14.8,57.9,61.3,102.13,59.0,16.0,4.0,12.0,773.0,104.2,112.5,-8.3,59.1,1.68,17.4,26.5,73.5,49.0,14.2,50.0,53.0,98.11,44.9
0,15.0,5.0,10.0,720.0,106.3,112.4,-6.1,54.1,1.56,15.8,27.4,72.3,49.1,13.7,49.9,53.4,98.0,44.9,14.0,8.0,6.0,677.0,108.8,105.3,3.4,55.9,1.92,17.2,20.0,72.2,46.1,11.8,52.9,56.4,93.06,51.8
1,14.0,5.0,9.0,672.0,111.1,114.3,-3.2,46.9,1.27,14.2,33.0,70.1,51.3,15.1,50.5,55.7,96.21,47.3,17.0,8.0,9.0,826.0,110.1,110.7,-0.6,43.2,1.36,13.2,28.2,72.1,49.6,12.7,50.2,55.1,96.29,48.7
0,14.0,7.0,7.0,672.0,116.8,115.7,1.1,63.9,1.94,19.5,32.5,73.1,53.0,14.2,55.0,58.9,99.68,51.2,15.0,8.0,7.0,725.0,108.1,106.2,1.9,63.5,1.67,18.7,28.6,75.0,51.9,15.5,51.7,55.9,95.9,52.1
1,16.0,12.0,4.0,768.0,112.2,105.5,6.7,58.7,1.79,18.7,27.8,71.7,50.9,14.4,54.8,57.7,97.41,54.5,15.0,4.0,11.0,720.0,108.4,110.3,-1.9,61.6,1.83,17.4,25.1,74.2,49.9,12.8,49.8,55.3,97.13,49.7
1,12.0,8.0,4.0,576.0,110.7,109.9,0.8,59.9,1.78,17.9,25.8,73.2,50.4,13.8,54.1,57.2,96.83,50.7,15.0,11.0,4.0,745.0,108.5,105.1,3.4,63.5,1.82,18.2,27.4,70.5,48.9,13.9,51.3,54.9,96.13,52.5
1,15.0,10.0,5.0,730.0,114.5,104.6,10.0,61.0,2.18,18.9,25.8,73.2,50.2,11.9,54.4,58.3,96.66,56.1,16.0,1.0,15.0,768.0,104.3,114.4,-10.1,55.2,1.37,16.1,22.5,72.4,48.0,15.5,51.4,55.4,101.25,44.9
1,16.0,5.0,11.0,778.0,109.6,114.2,-4.6,64.1,1.62,18.4,26.6,72.0,49.4,15.5,53.3,57.7,95.01,47.7,13.0,6.0,7.0,634.0,108.7,112.5,-3.8,49.2,1.69,15.8,28.3,77.3,51.5,12.5,51.6,54.1,96.76,46.7
0,14.0,12.0,2.0,677.0,116.8,103.3,13.5,68.9,2.0,21.1,27.5,74.3,52.6,14.8,57.9,61.3,102.13,59.0,15.0,9.0,6.0,720.0,106.1,107.1,-1.0,55.8,1.67,16.6,23.1,72.0,47.7,13.2,52.0,55.0,96.37,49.3
1,17.0,5.0,12.0,836.0,109.4,112.0,-2.5,53.7,1.49,16.1,33.4,70.1,51.5,15.1,50.6,54.0,95.86,47.3,13.0,9.0,4.0,629.0,112.7,110.7,1.9,56.2,1.66,17.8,23.8,72.1,48.9,14.3,55.3,59.5,97.49,52.0
0,17.0,10.0,7.0,816.0,111.7,109.0,2.7,64.0,1.67,18.3,25.6,72.7,48.8,15.0,53.7,57.9,100.62,50.0,15.0,5.0,10.0,725.0,108.0,113.5,-5.4,62.6,1.6,18.1,29.5,68.8,48.9,15.6,51.5,55.6,95.37,47.7
0,15.0,7.0,8.0,730.0,107.1,108.0,-0.9,52.1,1.36,15.2,26.5,72.7,49.2,14.8,51.5,55.0,98.53,47.7,14.0,5.0,9.0,677.0,105.4,107.2,-1.9,57.4,1.86,17.0,23.9,71.8,47.5,12.4,50.9,53.5,99.01,48.8
1,15.0,7.0,8.0,720.0,105.7,107.8,-2.1,53.3,1.35,15.3,29.1,73.2,51.0,15.3,49.0,53.5,98.9,48.4,15.0,9.0,6.0,725.0,107.9,105.0,2.9,53.9,1.52,15.7,27.7,74.6,51.1,13.9,50.4,54.6,92.03,52.7
1,15.0,8.0,7.0,725.0,107.1,107.2,-0.2,54.3,1.51,15.5,31.1,75.1,52.5,14.1,48.1,53.2,96.36,50.1,16.0,4.0,12.0,773.0,104.2,112.5,-8.3,59.1,1.68,17.4,26.5,73.5,49.0,14.2,50.0,53.0,98.11,44.9
0,12.0,8.0,4.0,576.0,110.7,109.9,0.8,59.9,1.78,17.9,25.8,73.2,50.4,13.8,54.1,57.2,96.83,50.7,15.0,10.0,5.0,720.0,104.7,104.5,0.2,69.1,1.51,18.8,28.2,72.1,50.3,17.3,51.2,55.5,100.2,52.0
1,15.0,10.0,5.0,730.0,114.5,104.6,10.0,61.0,2.18,18.9,25.8,73.2,50.2,11.9,54.4,58.3,96.66,56.1,17.0,8.0,9.0,826.0,110.1,110.7,-0.6,43.2,1.36,13.2,28.2,72.1,49.6,12.7,50.2,55.1,96.29,48.7
0,14.0,10.0,4.0,682.0,115.6,111.4,4.2,66.4,2.03,19.5,27.5,70.7,49.6,13.4,54.7,59.0,96.63,51.9,16.0,12.0,4.0,768.0,112.2,105.5,6.7,58.7,1.79,18.7,27.8,71.7,50.9,14.4,54.8,57.7,97.41,54.5
0,15.0,9.0,6.0,725.0,107.9,105.0,2.9,53.9,1.52,15.7,27.7,74.6,51.1,13.9,50.4,54.6,92.03,52.7,14.0,7.0,7.0,672.0,116.8,115.7,1.1,63.9,1.94,19.5,32.5,73.1,53.0,14.2,55.0,58.9,99.68,51.2
1,15.0,8.0,7.0,725.0,108.1,106.2,1.9,63.5,1.67,18.7,28.6,75.0,51.9,15.5,51.7,55.9,95.9,52.1,14.0,5.0,9.0,672.0,111.1,114.3,-3.2,46.9,1.27,14.2,33.0,70.1,51.3,15.1,50.5,55.7,96.21,47.3
1,16.0,5.0,11.0,778.0,109.6,114.2,-4.6,64.1,1.62,18.4,26.6,72.0,49.4,15.5,53.3,57.7,95.01,47.7,15.0,7.0,8.0,730.0,107.1,108.0,-0.9,52.1,1.36,15.2,26.5,72.7,49.2,14.8,51.5,55.0,98.53,47.7
0,17.0,10.0,7.0,816.0,111.7,109.0,2.7,64.0,1.67,18.3,25.6,72.7,48.8,15.0,53.7,57.9,100.62,50.0,14.0,10.0,4.0,682.0,115.6,111.4,4.2,66.4,2.03,19.5,27.5,70.7,49.6,13.4,54.7,59.0,96.63,51.9
1,15.0,9.0,6.0,720.0,106.1,107.1,-1.0,55.8,1.67,16.6,23.1,72.0,47.7,13.2,52.0,55.0,96.37,49.3,16.0,1.0,15.0,768.0,104.3,114.4,-10.1,55.2,1.37,16.1,22.5,72.4,48.0,15.5,51.4,55.4,101.25,44.9
1,15.0,11.0,4.0,745.0,108.5,105.1,3.4,63.5,1.82,18.2,27.4,70.5,48.9,13.9,51.3,54.9,96.13,52.5,15.0,8.0,7.0,725.0,107.1,107.2,-0.2,54.3,1.51,15.5,31.1,75.1,52.5,14.1,48.1,53.2,96.36,50.1
1,14.0,12.0,2.0,677.0,116.8,103.3,13.5,68.9,2.0,21.1,27.5,74.3,52.6,14.8,57.9,61.3,102.13,59.0,15.0,4.0,11.0,720.0,108.4,110.3,-1.9,61.6,1.83,17.4,25.1,74.2,49.9,12.8,49.8,55.3,97.13,49.7
0,17.0,8.0,9.0,826.0,110.1,110.7,-0.6,43.2,1.36,13.2,28.2,72.1,49.6,12.7,50.2,55.1,96.29,48.7,14.0,7.0,7.0,677.0,109.8,110.2,-0.3,57.4,1.76,16.7,28.2,76.0,51.4,12.9,50.9,55.2,94.23,49.8
1,15.0,7.0,8.0,720.0,105.7,107.8,-2.1,53.3,1.35,15.3,29.1,73.2,51.0,15.3,49.0,53.5,98.9,48.4,14.0,5.0,9.0,677.0,105.4,107.2,-1.9,57.4,1.86,17.0,23.9,71.8,47.5,12.4,50.9,53.5,99.01,48.8
