Team1Win,Team1GP,Team1W,Team1L,Team1MIN,Team1OFFRTG,Team1DEFRTG,Team1NETRTG,Team1AST%,Team1AST/TO,Team1ASTRATIO,Team1OREB%,Team1DREB%,Team1REB%,Team1TOV%,Team1EFG%,Team1TS%,Team1PACE,Team1PIE,Team2GP,Team2W,Team2L,Team2MIN,Team2OFFRTG,Team2DEFRTG,Team2NETRTG,Team2AST%,Team2AST/TO,Team2ASTRATIO,Team2OREB%,Team2DREB%,Team2REB%,Team2TOV%,Team2EFG%,Team2TS%,Team2PACE,Team2PIE
0,10.0,2.0,8.0,480.0,111.1,116.3,-5.2,45.9,1.44,13.2,28.7,72.9,49.4,12.0,49.0,54.2,95.85,43.1,12.0,11.0,1.0,576.0,111.4,101.7,9.7,59.1,1.87,18.5,25.7,71.9,50.1,13.5,54.2,58.0,96.08,56.9
0,11.0,6.0,5.0,533.0,114.5,110.3,4.2,58.7,1.56,17.9,34.8,73.9,54.7,16.1,53.9,57.7,98.7,52.3,10.0,9.0,1.0,485.0,111.9,106.5,5.4,64.6,1.94,19.4,23.1,72.2,48.1,13.8,55.0,58.1,104.41,52.5
1,13.0,7.0,6.0,639.0,103.6,103.7,-0.1,50.1,1.19,14.4,30.1,73.0,51.9,16.1,49.2,53.5,93.15,50.1,10.0,1.0,9.0,480.0,101.5,112.4,-10.9,58.6,1.18,15.4,31.5,72.1,50.9,17.9,47.5,52.4,100.05,42.1
0,11.0,4.0,7.0,528.0,107.5,113.0,-5.5,60.9,1.66,18.0,27.7,72.2,49.4,14.9,51.5,55.2,102.41,48.4,12.0,9.0,3.0,581.0,109.1,105.2,3.9,64.4,2.04,18.9,27.4,71.2,49.3,13.0,50.4,54.8,100.59,53.3
1,12.0,5.0,7.0,581.0,104.0,104.3,-0.3,57.4,1.46,16.5,27.8,76.6,52.0,15.2,49.6,53.7,98.11,49.9,11.0,2.0,9.0,528.0,103.3,109.2,-5.9,50.4,1.37,14.6,26.1,76.7,51.3,14.1,48.3,53.0,94.59,45.3
0,11.0,6.0,5.0,543.0,104.2,97.3,6.9,67.7,1.73,19.6,24.7,72.4,49.5,15.8,52.5,55.1,98.12,54.3,12.0,5.0,7.0,586.0,105.2,107.5,-2.4,61.7,1.79,18.0,28.0,76.0,50.6,13.9,49.5,53.4,99.89,48.5
1,11.0,7.0,4.0,538.0,108.6,101.2,7.4,54.4,1.49,16.1,25.5,72.3,49.5,14.3,52.8,56.4,97.12,54.4,11.0,6.0,5.0,533.0,103.3,103.6,-0.3,53.0,1.53,15.6,31.2,78.1,54.8,14.0,47.4,51.3,97.17,51.6
0,12.0,4.0,8.0,581.0,104.2,109.4,-5.2,60.8,1.85,17.9,26.6,71.1,48.9,13.3,49.2,52.5,97.49,46.5,10.0,7.0,3.0,480.0,105.9,101.7,4.2,57.8,1.55,16.9,22.8,76.5,50.4,14.5,51.9,55.7,95.55,51.3
0,11.0,4.0,7.0,528.0,107.5,113.0,-5.5,60.9,1.66,18.0,27.7,72.2,49.4,14.9,51.5,55.2,102.41,48.4,13.0,8.0,5.0,629.0,110.9,105.6,5.3,55.7,1.73,16.9,29.4,72.8,51.2,13.4,52.3,55.6,94.28,52.3
0,10.0,2.0,8.0,480.0,111.1,116.3,-5.2,45.9,1.44,13.2,28.7,72.9,49.4,12.0,49.0,54.2,95.85,43.1,13.0,6.0,7.0,634.0,102.9,104.5,-1.6,54.4,1.5,16.1,27.7,71.3,49.7,14.5,48.8,52.3,96.57,50.3
1,11.0,7.0,4.0,538.0,108.6,101.2,7.4,54.4,1.49,16.1,25.5,72.3,49.5,14.3,52.8,56.4,97.12,54.4,12.0,1.0,11.0,581.0,101.2,113.6,-12.3,57.6,1.25,16.5,23.6,67.5,45.5,17.4,51.5,54.9,100.01,42.4
0,12.0,5.0,7.0,581.0,104.0,104.3,-0.3,57.4,1.46,16.5,27.8,76.6,52.0,15.2,49.6,53.7,98.11,49.9,12.0,5.0,7.0,576.0,106.3,109.3,-3.0,61.6,1.48,18.0,26.7,70.9,49.6,16.5,52.7,56.8,97.21,50.1
1,11.0,7.0,4.0,528.0,114.0,111.7,2.4,51.0,1.77,15.6,27.6,72.2,49.5,11.8,52.5,56.9,92.32,50.4,12.0,6.0,6.0,576.0,106.0,105.3,0.7,51.3,1.45,15.2,27.4,77.0,50.8,14.0,51.2,53.7,95.25,47.4
1,12.0,5.0,7.0,586.0,105.2,107.5,-2.4,61.7,1.79,18.0,28.0,76.0,50.6,13.9,49.5,53.4,99.89,48.5,11.0,6.0,5.0,543.0,104.2,97.3,6.9,67.7,1.73,19.6,24.7,72.4,49.5,15.8,52.5,55.1,98.12,54.3
1,11.0,9.0,2.0,533.0,111.1,103.2,7.9,54.7,1.49,16.4,28.9,71.8,50.7,14.9,53.3,56.9,98.57,53.2,11.0,7.0,4.0,538.0,112.3,107.5,4.8,54.5,1.85,17.1,24.5,71.1,49.0,12.3,53.5,57.7,92.88,54.2
1,12.0,5.0,7.0,576.0,105.6,110.9,-5.2,52.9,1.77,15.8,26.3,75.0,48.9,12.0,49.2,53.0,97.54,46.4,11.0,5.0,6.0,528.0,112.7,116.7,-3.9,64.9,1.85,18.5,30.9,71.0,51.2,14.1,51.0,57.0,96.5,50.2
1,11.0,6.0,5.0,533.0,114.5,110.3,4.2,58.7,1.56,17.9,34.8,73.9,54.7,16.1,53.9,57.7,98.7,52.3,10.0,1.0,9.0,480.0,101.5,112.4,-10.9,58.6,1.18,15.4,31.5,72.1,50.9,17.9,47.5,52.4,100.05,42.1
1,12.0,11.0,1.0,576.0,111.4,101.7,9.7,59.1,1.87,18.5,25.7,71.9,50.1,13.5,54.2,58.0,96.08,56.9,11.0,6.0,5.0,533.0,103.3,103.6,-0.3,53.0,1.53,15.6,31.2,78.1,54.8,14.0,47.4,51.3,97.17,51.6
0,12.0,9.0,3.0,581.0,109.1,105.2,3.9,64.4,2.04,18.9,27.4,71.2,49.3,13.0,50.4,54.8,100.59,53.3,11.0,5.0,6.0,538.0,103.2,104.3,-1.1,58.9,1.41,17.4,27.9,70.4,50.0,16.9,51.5,54.4,98.28,51.0
1,14.0,8.0,6.0,672.0,105.1,103.0,2.1,59.4,1.91,17.7,22.4,74.5,48.2,12.5,50.7,53.8,100.11,50.9,11.0,2.0,9.0,528.0,103.3,109.2,-5.9,50.4,1.37,14.6,26.1,76.7,51.3,14.1,48.3,53.0,94.59,45.3
1,13.0,7.0,6.0,639.0,103.6,103.7,-0.1,50.1,1.19,14.4,30.1,73.0,51.9,16.1,49.2,53.5,93.15,50.1,10.0,4.0,6.0,500.0,110.5,111.1,-0.6,61.0,2.23,17.4,22.6,70.9,46.9,10.4,51.1,56.3,95.04,50.9
0,10.0,4.0,6.0,485.0,106.8,108.5,-1.7,60.6,1.36,16.4,29.1,67.4,47.5,16.4,51.8,55.4,100.11,48.3,10.0,9.0,1.0,485.0,111.9,106.5,5.4,64.6,1.94,19.4,23.1,72.2,48.1,13.8,55.0,58.1,104.41,52.5
1,12.0,11.0,1.0,576.0,111.4,101.7,9.7,59.1,1.87,18.5,25.7,71.9,50.1,13.5,54.2,58.0,96.08,56.9,12.0,5.0,7.0,586.0,105.2,107.5,-2.4,61.7,1.79,18.0,28.0,76.0,50.6,13.9,49.5,53.4,99.89,48.5
1,11.0,4.0,7.0,528.0,107.5,113.0,-5.5,60.9,1.66,18.0,27.7,72.2,49.4,14.9,51.5,55.2,102.41,48.4,12.0,1.0,11.0,581.0,101.2,113.6,-12.3,57.6,1.25,16.5,23.6,67.5,45.5,17.4,51.5,54.9,100.01,42.4
0,11.0,7.0,4.0,538.0,108.6,101.2,7.4,54.4,1.49,16.1,25.5,72.3,49.5,14.3,52.8,56.4,97.12,54.4,12.0,9.0,3.0,581.0,109.1,105.2,3.9,64.4,2.04,18.9,27.4,71.2,49.3,13.0,50.4,54.8,100.59,53.3
1,11.0,7.0,4.0,538.0,112.3,107.5,4.8,54.5,1.85,17.1,24.5,71.1,49.0,12.3,53.5,57.7,92.88,54.2,12.0,5.0,7.0,576.0,106.3,109.3,-3.0,61.6,1.48,18.0,26.7,70.9,49.6,16.5,52.7,56.8,97.21,50.1
1,12.0,5.0,7.0,581.0,104.0,104.3,-0.3,57.4,1.46,16.5,27.8,76.6,52.0,15.2,49.6,53.7,98.11,49.9,12.0,6.0,6.0,576.0,106.0,105.3,0.7,51.3,1.45,15.2,27.4,77.0,50.8,14.0,51.2,53.7,95.25,47.4
1,11.0,6.0,5.0,543.0,104.2,97.3,6.9,67.7,1.73,19.6,24.7,72.4,49.5,15.8,52.5,55.1,98.12,54.3,12.0,4.0,8.0,581.0,104.2,109.4,-5.2,60.8,1.85,17.9,26.6,71.1,48.9,13.3,49.2,52.5,97.49,46.5
0,10.0,2.0,8.0,480.0,111.1,116.3,-5.2,45.9,1.44,13.2,28.7,72.9,49.4,12.0,49.0,54.2,95.85,43.1,13.0,8.0,5.0,629.0,110.9,105.6,5.3,55.7,1.73,16.9,29.4,72.8,51.2,13.4,52.3,55.6,94.28,52.3
0,11.0,7.0,4.0,528.0,114.0,111.7,2.4,51.0,1.77,15.6,27.6,72.2,49.5,11.8,52.5,56.9,92.32,50.4,11.0,5.0,6.0,528.0,112.7,116.7,-3.9,64.9,1.85,18.5,30.9,71.0,51.2,14.1,51.0,57.0,96.5,50.2
0,13.0,7.0,6.0,639.0,103.6,103.7,-0.1,50.1,1.19,14.4,30.1,73.0,51.9,16.1,49.2,53.5,93.15,50.1,12.0,5.0,7.0,576.0,105.6,110.9,-5.2,52.9,1.77,15.8,26.3,75.0,48.9,12.0,49.2,53.0,97.54,46.4
1,10.0,9.0,1.0,485.0,111.9,106.5,5.4,64.6,1.94,19.4,23.1,72.2,48.1,13.8,55.0,58.1,104.41,52.5,10.0,1.0,9.0,480.0,101.5,112.4,-10.9,58.6,1.18,15.4,31.5,72.1,50.9,17.9,47.5,52.4,100.05,42.1
0,10.0,4.0,6.0,485.0,106.8,108.5,-1.7,60.6,1.36,16.4,29.1,67.4,47.5,16.4,51.8,55.4,100.11,48.3,11.0,9.0,2.0,533.0,111.1,103.2,7.9,54.7,1.49,16.4,28.9,71.8,50.7,14.9,53.3,56.9,98.57,53.2
0,14.0,8.0,6.0,672.0,105.1,103.0,2.1,59.4,1.91,17.7,22.4,74.5,48.2,12.5,50.7,53.8,100.11,50.9,11.0,5.0,6.0,538.0,103.2,104.3,-1.1,58.9,1.41,17.4,27.9,70.4,50.0,16.9,51.5,54.4,98.28,51.0
0,12.0,5.0,7.0,576.0,105.6,110.9,-5.2,52.9,1.77,15.8,26.3,75.0,48.9,12.0,49.2,53.0,97.54,46.4,11.0,6.0,5.0,533.0,114.5,110.3,4.2,58.7,1.56,17.9,34.8,73.9,54.7,16.1,53.9,57.7,98.7,52.3
0,13.0,7.0,6.0,639.0,103.6,103.7,-0.1,50.1,1.19,14.4,30.1,73.0,51.9,16.1,49.2,53.5,93.15,50.1,14.0,8.0,6.0,672.0,105.1,103.0,2.1,59.4,1.91,17.7,22.4,74.5,48.2,12.5,50.7,53.8,100.11,50.9
0,12.0,4.0,8.0,581.0,104.2,109.4,-5.2,60.8,1.85,17.9,26.6,71.1,48.9,13.3,49.2,52.5,97.49,46.5,13.0,8.0,5.0,629.0,110.9,105.6,5.3,55.7,1.73,16.9,29.4,72.8,51.2,13.4,52.3,55.6,94.28,52.3
0,12.0,11.0,1.0,576.0,111.4,101.7,9.7,59.1,1.87,18.5,25.7,71.9,50.1,13.5,54.2,58.0,96.08,56.9,11.0,7.0,4.0,538.0,108.6,101.2,7.4,54.4,1.49,16.1,25.5,72.3,49.5,14.3,52.8,56.4,97.12,54.4
0,10.0,4.0,6.0,500.0,110.5,111.1,-0.6,61.0,2.23,17.4,22.6,70.9,46.9,10.4,51.1,56.3,95.04,50.9,12.0,5.0,7.0,586.0,105.2,107.5,-2.4,61.7,1.79,18.0,28.0,76.0,50.6,13.9,49.5,53.4,99.89,48.5
0,12.0,6.0,6.0,576.0,106.0,105.3,0.7,51.3,1.45,15.2,27.4,77.0,50.8,14.0,51.2,53.7,95.25,47.4,14.0,8.0,6.0,672.0,105.1,103.0,2.1,59.4,1.91,17.7,22.4,74.5,48.2,12.5,50.7,53.8,100.11,50.9
0,11.0,2.0,9.0,528.0,103.3,109.2,-5.9,50.4,1.37,14.6,26.1,76.7,51.3,14.1,48.3,53.0,94.59,45.3,12.0,5.0,7.0,576.0,106.3,109.3,-3.0,61.6,1.48,18.0,26.7,70.9,49.6,16.5,52.7,56.8,97.21,50.1
1,11.0,6.0,5.0,533.0,103.3,103.6,-0.3,53.0,1.53,15.6,31.2,78.1,54.8,14.0,47.4,51.3,97.17,51.6,11.0,6.0,5.0,543.0,104.2,97.3,6.9,67.7,1.73,19.6,24.7,72.4,49.5,15.8,52.5,55.1,98.12,54.3
0,11.0,7.0,4.0,528.0,114.0,111.7,2.4,51.0,1.77,15.6,27.6,72.2,49.5,11.8,52.5,56.9,92.32,50.4,12.0,4.0,8.0,581.0,104.2,109.4,-5.2,60.8,1.85,17.9,26.6,71.1,48.9,13.3,49.2,52.5,97.49,46.5
0,11.0,5.0,6.0,528.0,112.7,116.7,-3.9,64.9,1.85,18.5,30.9,71.0,51.2,14.1,51.0,57.0,96.5,50.2,11.0,7.0,4.0,538.0,112.3,107.5,4.8,54.5,1.85,17.1,24.5,71.1,49.0,12.3,53.5,57.7,92.88,54.2
1,10.0,7.0,3.0,480.0,105.9,101.7,4.2,57.8,1.55,16.9,22.8,76.5,50.4,14.5,51.9,55.7,95.55,51.3,11.0,5.0,6.0,538.0,103.2,104.3,-1.1,58.9,1.41,17.4,27.9,70.4,50.0,16.9,51.5,54.4,98.28,51.0
0,12.0,1.0,11.0,581.0,101.2,113.6,-12.3,57.6,1.25,16.5,23.6,67.5,45.5,17.4,51.5,54.9,100.01,42.4,12.0,5.0,7.0,576.0,105.6,110.9,-5.2,52.9,1.77,15.8,26.3,75.0,48.9,12.0,49.2,53.0,97.54,46.4
1,13.0,6.0,7.0,634.0,102.9,104.5,-1.6,54.4,1.5,16.1,27.7,71.3,49.7,14.5,48.8,52.3,96.57,50.3,11.0,6.0,5.0,533.0,114.5,110.3,4.2,58.7,1.56,17.9,34.8,73.9,54.7,16.1,53.9,57.7,98.7,52.3
0,10.0,9.0,1.0,485.0,111.9,106.5,5.4,64.6,1.94,19.4,23.1,72.2,48.1,13.8,55.0,58.1,104.41,52.5,11.0,9.0,2.0,533.0,111.1,103.2,7.9,54.7,1.49,16.4,28.9,71.8,50.7,14.9,53.3,56.9,98.57,53.2
0,12.0,5.0,7.0,581.0,104.0,104.3,-0.3,57.4,1.46,16.5,27.8,76.6,52.0,15.2,49.6,53.7,98.11,49.9,11.0,4.0,7.0,528.0,107.5,113.0,-5.5,60.9,1.66,18.0,27.7,72.2,49.4,14.9,51.5,55.2,102.41,48.4
1,12.0,11.0,1.0,576.0,111.4,101.7,9.7,59.1,1.87,18.5,25.7,71.9,50.1,13.5,54.2,58.0,96.08,56.9,10.0,2.0,8.0,480.0,111.1,116.3,-5.2,45.9,1.44,13.2,28.7,72.9,49.4,12.0,49.0,54.2,95.85,43.1
0,12.0,9.0,3.0,581.0,109.1,105.2,3.9,64.4,2.04,18.9,27.4,71.2,49.3,13.0,50.4,54.8,100.59,53.3,13.0,7.0,6.0,639.0,103.6,103.7,-0.1,50.1,1.19,14.4,30.1,73.0,51.9,16.1,49.2,53.5,93.15,50.1
1,11.0,5.0,6.0,538.0,103.2,104.3,-1.1,58.9,1.41,17.4,27.9,70.4,50.0,16.9,51.5,54.4,98.28,51.0,11.0,6.0,5.0,543.0,104.2,97.3,6.9,67.7,1.73,19.6,24.7,72.4,49.5,15.8,52.5,55.1,98.12,54.3
0,14.0,8.0,6.0,672.0,105.1,103.0,2.1,59.4,1.91,17.7,22.4,74.5,48.2,12.5,50.7,53.8,100.11,50.9,11.0,6.0,5.0,533.0,103.3,103.6,-0.3,53.0,1.53,15.6,31.2,78.1,54.8,14.0,47.4,51.3,97.17,51.6
1,11.0,2.0,9.0,528.0,103.3,109.2,-5.9,50.4,1.37,14.6,26.1,76.7,51.3,14.1,48.3,53.0,94.59,45.3,11.0,5.0,6.0,528.0,112.7,116.7,-3.9,64.9,1.85,18.5,30.9,71.0,51.2,14.1,51.0,57.0,96.5,50.2
1,10.0,9.0,1.0,485.0,111.9,106.5,5.4,64.6,1.94,19.4,23.1,72.2,48.1,13.8,55.0,58.1,104.41,52.5,11.0,7.0,4.0,538.0,108.6,101.2,7.4,54.4,1.49,16.1,25.5,72.3,49.5,14.3,52.8,56.4,97.12,54.4
1,12.0,5.0,7.0,576.0,105.6,110.9,-5.2,52.9,1.77,15.8,26.3,75.0,48.9,12.0,49.2,53.0,97.54,46.4,12.0,6.0,6.0,576.0,106.0,105.3,0.7,51.3,1.45,15.2,27.4,77.0,50.8,14.0,51.2,53.7,95.25,47.4
1,13.0,8.0,5.0,629.0,110.9,105.6,5.3,55.7,1.73,16.9,29.4,72.8,51.2,13.4,52.3,55.6,94.28,52.3,11.0,6.0,5.0,533.0,114.5,110.3,4.2,58.7,1.56,17.9,34.8,73.9,54.7,16.1,53.9,57.7,98.7,52.3
1,12.0,9.0,3.0,581.0,109.1,105.2,3.9,64.4,2.04,18.9,27.4,71.2,49.3,13.0,50.4,54.8,100.59,53.3,12.0,5.0,7.0,581.0,104.0,104.3,-0.3,57.4,1.46,16.5,27.8,76.6,52.0,15.2,49.6,53.7,98.11,49.9
1,12.0,11.0,1.0,576.0,111.4,101.7,9.7,59.1,1.87,18.5,25.7,71.9,50.1,13.5,54.2,58.0,96.08,56.9,10.0,1.0,9.0,480.0,101.5,112.4,-10.9,58.6,1.18,15.4,31.5,72.1,50.9,17.9,47.5,52.4,100.05,42.1
1,10.0,7.0,3.0,480.0,105.9,101.7,4.2,57.8,1.55,16.9,22.8,76.5,50.4,14.5,51.9,55.7,95.55,51.3,12.0,5.0,7.0,576.0,106.3,109.3,-3.0,61.6,1.48,18.0,26.7,70.9,49.6,16.5,52.7,56.8,97.21,50.1
1,13.0,6.0,7.0,634.0,102.9,104.5,-1.6,54.4,1.5,16.1,27.7,71.3,49.7,14.5,48.8,52.3,96.57,50.3,12.0,5.0,7.0,586.0,105.2,107.5,-2.4,61.7,1.79,18.0,28.0,76.0,50.6,13.9,49.5,53.4,99.89,48.5
0,11.0,7.0,4.0,538.0,112.3,107.5,4.8,54.5,1.85,17.1,24.5,71.1,49.0,12.3,53.5,57.7,92.88,54.2,11.0,7.0,4.0,528.0,114.0,111.7,2.4,51.0,1.77,15.6,27.6,72.2,49.5,11.8,52.5,56.9,92.32,50.4
0,12.0,1.0,11.0,581.0,101.2,113.6,-12.3,57.6,1.25,16.5,23.6,67.5,45.5,17.4,51.5,54.9,100.01,42.4,10.0,4.0,6.0,500.0,110.5,111.1,-0.6,61.0,2.23,17.4,22.6,70.9,46.9,10.4,51.1,56.3,95.04,50.9
0,10.0,2.0,8.0,480.0,111.1,116.3,-5.2,45.9,1.44,13.2,28.7,72.9,49.4,12.0,49.0,54.2,95.85,43.1,12.0,4.0,8.0,581.0,104.2,109.4,-5.2,60.8,1.85,17.9,26.6,71.1,48.9,13.3,49.2,52.5,97.49,46.5
0,13.0,7.0,6.0,639.0,103.6,103.7,-0.1,50.1,1.19,14.4,30.1,73.0,51.9,16.1,49.2,53.5,93.15,50.1,11.0,9.0,2.0,533.0,111.1,103.2,7.9,54.7,1.49,16.4,28.9,71.8,50.7,14.9,53.3,56.9,98.57,53.2
1,12.0,6.0,6.0,576.0,106.0,105.3,0.7,51.3,1.45,15.2,27.4,77.0,50.8,14.0,51.2,53.7,95.25,47.4,13.0,8.0,5.0,629.0,110.9,105.6,5.3,55.7,1.73,16.9,29.4,72.8,51.2,13.4,52.3,55.6,94.28,52.3
0,13.0,6.0,7.0,634.0,102.9,104.5,-1.6,54.4,1.5,16.1,27.7,71.3,49.7,14.5,48.8,52.3,96.57,50.3,11.0,6.0,5.0,533.0,103.3,103.6,-0.3,53.0,1.53,15.6,31.2,78.1,54.8,14.0,47.4,51.3,97.17,51.6
1,11.0,7.0,4.0,528.0,114.0,111.7,2.4,51.0,1.77,15.6,27.6,72.2,49.5,11.8,52.5,56.9,92.32,50.4,11.0,2.0,9.0,528.0,103.3,109.2,-5.9,50.4,1.37,14.6,26.1,76.7,51.3,14.1,48.3,53.0,94.59,45.3
1,10.0,9.0,1.0,485.0,111.9,106.5,5.4,64.6,1.94,19.4,23.1,72.2,48.1,13.8,55.0,58.1,104.41,52.5,11.0,6.0,5.0,543.0,104.2,97.3,6.9,67.7,1.73,19.6,24.7,72.4,49.5,15.8,52.5,55.1,98.12,54.3
0,10.0,2.0,8.0,480.0,111.1,116.3,-5.2,45.9,1.44,13.2,28.7,72.9,49.4,12.0,49.0,54.2,95.85,43.1,11.0,5.0,6.0,538.0,103.2,104.3,-1.1,58.9,1.41,17.4,27.9,70.4,50.0,16.9,51.5,54.4,98.28,51.0
0,12.0,9.0,3.0,581.0,109.1,105.2,3.9,64.4,2.04,18.9,27.4,71.2,49.3,13.0,50.4,54.8,100.59,53.3,11.0,5.0,6.0,528.0,112.7,116.7,-3.9,64.9,1.85,18.5,30.9,71.0,51.2,14.1,51.0,57.0,96.5,50.2
0,10.0,1.0,9.0,480.0,101.5,112.4,-10.9,58.6,1.18,15.4,31.5,72.1,50.9,17.9,47.5,52.4,100.05,42.1,11.0,7.0,4.0,538.0,108.6,101.2,7.4,54.4,1.49,16.1,25.5,72.3,49.5,14.3,52.8,56.4,97.12,54.4
1,12.0,5.0,7.0,586.0,105.2,107.5,-2.4,61.7,1.79,18.0,28.0,76.0,50.6,13.9,49.5,53.4,99.89,48.5,12.0,1.0,11.0,581.0,101.2,113.6,-12.3,57.6,1.25,16.5,23.6,67.5,45.5,17.4,51.5,54.9,100.01,42.4
0,12.0,5.0,7.0,576.0,105.6,110.9,-5.2,52.9,1.77,15.8,26.3,75.0,48.9,12.0,49.2,53.0,97.54,46.4,14.0,8.0,6.0,672.0,105.1,103.0,2.1,59.4,1.91,17.7,22.4,74.5,48.2,12.5,50.7,53.8,100.11,50.9
1,11.0,4.0,7.0,528.0,107.5,113.0,-5.5,60.9,1.66,18.0,27.7,72.2,49.4,14.9,51.5,55.2,102.41,48.4,12.0,5.0,7.0,581.0,104.0,104.3,-0.3,57.4,1.46,16.5,27.8,76.6,52.0,15.2,49.6,53.7,98.11,49.9
0,10.0,4.0,6.0,485.0,106.8,108.5,-1.7,60.6,1.36,16.4,29.1,67.4,47.5,16.4,51.8,55.4,100.11,48.3,13.0,7.0,6.0,639.0,103.6,103.7,-0.1,50.1,1.19,14.4,30.1,73.0,51.9,16.1,49.2,53.5,93.15,50.1
0,12.0,5.0,7.0,576.0,106.3,109.3,-3.0,61.6,1.48,18.0,26.7,70.9,49.6,16.5,52.7,56.8,97.21,50.1,11.0,9.0,2.0,533.0,111.1,103.2,7.9,54.7,1.49,16.4,28.9,71.8,50.7,14.9,53.3,56.9,98.57,53.2
0,10.0,7.0,3.0,480.0,105.9,101.7,4.2,57.8,1.55,16.9,22.8,76.5,50.4,14.5,51.9,55.7,95.55,51.3,13.0,8.0,5.0,629.0,110.9,105.6,5.3,55.7,1.73,16.9,29.4,72.8,51.2,13.4,52.3,55.6,94.28,52.3
0,11.0,2.0,9.0,528.0,103.3,109.2,-5.9,50.4,1.37,14.6,26.1,76.7,51.3,14.1,48.3,53.0,94.59,45.3,13.0,6.0,7.0,634.0,102.9,104.5,-1.6,54.4,1.5,16.1,27.7,71.3,49.7,14.5,48.8,52.3,96.57,50.3
0,12.0,1.0,11.0,581.0,101.2,113.6,-12.3,57.6,1.25,16.5,23.6,67.5,45.5,17.4,51.5,54.9,100.01,42.4,12.0,6.0,6.0,576.0,106.0,105.3,0.7,51.3,1.45,15.2,27.4,77.0,50.8,14.0,51.2,53.7,95.25,47.4
1,10.0,9.0,1.0,485.0,111.9,106.5,5.4,64.6,1.94,19.4,23.1,72.2,48.1,13.8,55.0,58.1,104.41,52.5,11.0,6.0,5.0,533.0,103.3,103.6,-0.3,53.0,1.53,15.6,31.2,78.1,54.8,14.0,47.4,51.3,97.17,51.6
0,11.0,5.0,6.0,528.0,112.7,116.7,-3.9,64.9,1.85,18.5,30.9,71.0,51.2,14.1,51.0,57.0,96.5,50.2,11.0,7.0,4.0,528.0,114.0,111.7,2.4,51.0,1.77,15.6,27.6,72.2,49.5,11.8,52.5,56.9,92.32,50.4
0,14.0,8.0,6.0,672.0,105.1,103.0,2.1,59.4,1.91,17.7,22.4,74.5,48.2,12.5,50.7,53.8,100.11,50.9,12.0,4.0,8.0,581.0,104.2,109.4,-5.2,60.8,1.85,17.9,26.6,71.1,48.9,13.3,49.2,52.5,97.49,46.5
0,10.0,2.0,8.0,480.0,111.1,116.3,-5.2,45.9,1.44,13.2,28.7,72.9,49.4,12.0,49.0,54.2,95.85,43.1,11.0,7.0,4.0,538.0,112.3,107.5,4.8,54.5,1.85,17.1,24.5,71.1,49.0,12.3,53.5,57.7,92.88,54.2
1,11.0,6.0,5.0,533.0,114.5,110.3,4.2,58.7,1.56,17.9,34.8,73.9,54.7,16.1,53.9,57.7,98.7,52.3,10.0,4.0,6.0,500.0,110.5,111.1,-0.6,61.0,2.23,17.4,22.6,70.9,46.9,10.4,51.1,56.3,95.04,50.9
1,12.0,5.0,7.0,581.0,104.0,104.3,-0.3,57.4,1.46,16.5,27.8,76.6,52.0,15.2,49.6,53.7,98.11,49.9,11.0,7.0,4.0,538.0,108.6,101.2,7.4,54.4,1.49,16.1,25.5,72.3,49.5,14.3,52.8,56.4,97.12,54.4
1,12.0,11.0,1.0,576.0,111.4,101.7,9.7,59.1,1.87,18.5,25.7,71.9,50.1,13.5,54.2,58.0,96.08,56.9,11.0,4.0,7.0,528.0,107.5,113.0,-5.5,60.9,1.66,18.0,27.7,72.2,49.4,14.9,51.5,55.2,102.41,48.4
1,10.0,9.0,1.0,485.0,111.9,106.5,5.4,64.6,1.94,19.4,23.1,72.2,48.1,13.8,55.0,58.1,104.41,52.5,12.0,5.0,7.0,586.0,105.2,107.5,-2.4,61.7,1.79,18.0,28.0,76.0,50.6,13.9,49.5,53.4,99.89,48.5
0,11.0,5.0,6.0,538.0,103.2,104.3,-1.1,58.9,1.41,17.4,27.9,70.4,50.0,16.9,51.5,54.4,98.28,51.0,12.0,9.0,3.0,581.0,109.1,105.2,3.9,64.4,2.04,18.9,27.4,71.2,49.3,13.0,50.4,54.8,100.59,53.3
0,11.0,6.0,5.0,533.0,114.5,110.3,4.2,58.7,1.56,17.9,34.8,73.9,54.7,16.1,53.9,57.7,98.7,52.3,12.0,5.0,7.0,576.0,105.6,110.9,-5.2,52.9,1.77,15.8,26.3,75.0,48.9,12.0,49.2,53.0,97.54,46.4
1,12.0,5.0,7.0,576.0,106.3,109.3,-3.0,61.6,1.48,18.0,26.7,70.9,49.6,16.5,52.7,56.8,97.21,50.1,10.0,1.0,9.0,480.0,101.5,112.4,-10.9,58.6,1.18,15.4,31.5,72.1,50.9,17.9,47.5,52.4,100.05,42.1
1,10.0,4.0,6.0,485.0,106.8,108.5,-1.7,60.6,1.36,16.4,29.1,67.4,47.5,16.4,51.8,55.4,100.11,48.3,11.0,9.0,2.0,533.0,111.1,103.2,7.9,54.7,1.49,16.4,28.9,71.8,50.7,14.9,53.3,56.9,98.57,53.2
1,12.0,11.0,1.0,576.0,111.4,101.7,9.7,59.1,1.87,18.5,25.7,71.9,50.1,13.5,54.2,58.0,96.08,56.9,13.0,7.0,6.0,639.0,103.6,103.7,-0.1,50.1,1.19,14.4,30.1,73.0,51.9,16.1,49.2,53.5,93.15,50.1
